timestamp,/mfcc_aRMSlow_MFCC1,/mfcc_aRMSlow_MFCC2,/mfcc_aRMSlow_MFCC3,/mfcc_aRMShigh_MFCC1,/mfcc_aRMShigh_MFCC2,/mfcc_aRMShigh_MFCC3,/mfcc_vRMSlow_MFCC1,/mfcc_vRMSlow_MFCC2,/mfcc_vRMSlow_MFCC3,/mfcc_vRMShigh_MFCC1,/mfcc_vRMShigh_MFCC2,/mfcc_vRMShigh_MFCC3,estado
1739802744.095281,0.0,0.0,0.0,0.0,0.0,0.0,6.545977115631104,-1.4834880828857422,-0.8945744633674622,0.0,0.0,0.0,roca
1739802744.1952734,0.0,0.0,0.0,0.0,0.0,0.0,3.7980470657348633,-2.532276391983032,0.3169120252132416,0.0,0.0,0.0,roca
1739802730.495257,7.5745092252866275,-1.4574688345104971,-0.9581262894099758,7.554187030581016,-1.434698282438478,-0.9502389978415844,7.568004413540774,-1.4506890674740731,-0.9398255866190308,7.587445219685792,-1.4495567751512937,-0.9564723355818124,roca
1739802730.5952718,10.82657322402938,0.2623856053471511,1.4272182764732475,10.722635823164234,0.1705787555129511,1.2996066580629448,10.809257936869754,0.2257856564173705,1.3594316140738163,10.256506231565195,0.4682625194187931,1.697558400116149,roca
1739802730.6952386,8.13831607553399,0.1313127167157448,3.145658597841261,11.999694880413829,2.548409382240846,3.448204124896864,14.999504730122116,4.311150602725541,4.201182190985071,12.208971978915992,2.014304854332734,2.868506497896561,roca
1739802730.7952428,9.29649714932724,-0.7561085127545645,-0.1007154113800622,13.60090688377013,0.3531300341992689,-1.4044941577222043,18.553867783875283,2.6262752830335248,0.072146333263213,13.205179346604348,0.5907650243104837,-0.8020980468592566,roca
1739802730.8952415,10.406145748422592,1.019463230066002,1.7687350094962613,11.581622342954864,1.5188902915549098,2.3069456035444555,15.629139739847115,4.543120145278719,4.562564440080203,12.044707007064597,1.8839617290431416,2.4970142358709926,roca
1739802730.995207,16.451794770351142,4.278779310648719,4.278716065726509,15.314477029705456,4.951538909873378,3.606889435065992,20.557567831117,5.489682107935965,5.5988434370696005,21.102224908119684,1.9109321752414252,-2.442129482645793,roca
1739802731.095255,22.203263656373814,3.508103428528932,-0.7452032368808985,12.6209902936694,0.7447050094406695,0.0840766379253971,18.44431931665641,6.589943828479512,5.964789587191689,14.14619839981871,2.9927456102405623,3.05411070806777,roca
1739802731.1952546,16.23114396909516,3.7015026265679896,4.7337070640134815,13.199605698923378,0.9169492504476088,2.717509831730213,18.15020087623411,9.221708497604377,7.790986908315248,20.76814986228938,1.9306130878368184,5.558756928883332,roca
1739802731.2952795,16.914108376110203,1.2399358591671548,0.0884865771654666,11.919147193609993,0.5751245958893819,0.4869593335292109,12.945254841941642,3.806291685664078,3.664768043904133,12.360211937164914,2.5698738285668554,2.4506139588427125,roca
1739802731.3952715,9.54427364022496,1.6515968561253294,2.582891066157554,3.908543377525017,0.1320781174096934,0.917618255121918,8.017371359534193,1.649352760123726,1.97889092684884,6.0813619528535545,0.2060580005016633,-0.1918785942493514,roca
1739802731.4952323,6.545845243943691,-1.4798800029446937,-0.9213254083160825,-0.0002026576929443,-1.6126746860787835,-0.0136412423375992,2.6398123989218685,-0.2417837024985701,1.1285121655555608,-0.0111891181446156,-1.6098603414570074,0.0068665564570053,roca
1739802731.695272,-0.0094209709432443,0.0146341504352074,-0.0128904811739659,7.565929806145088,-1.4312183994008587,-0.975899717424404,7.563919789041702,-1.4203534806700722,-0.9455344519423132,7.545410073110239,-1.4439988433128788,-0.9626225156034768,roca
1739802731.7952385,0.0086032825328795,-0.0109944366981936,0.0046931400268053,10.792481953802858,0.162487437845087,1.29931398488232,10.71738794121844,0.1734577696583362,1.3165096369861589,10.774055893505292,0.1656276536870383,1.3082657350640443,roca
1739802731.895168,0.0067494894122752,-0.0075028544842662,-0.0054182069467585,9.996537632600456,1.4069036487554998,2.8858311943618906,10.0494689874062,1.2019379361009963,2.628189487317529,9.996518213262204,1.461523832457535,2.9162600327390176,roca
1739802731.995191,-0.0093105015043522,-0.0109909154187443,0.0020277241800101,6.122714392383772,0.1948527623905856,-0.1835609194285459,8.700589449988357,-1.4168938830312223,2.1267451493982645,6.139371952618565,0.1907675154559217,-0.2232358678525539,roca
1739802735.995282,0.0138695446734398,0.0013343875670267,0.0192905730034407,-0.0119542149667015,-0.0012475065236183,-0.0159361072104325,4.347237026069753,-3.246412806873595,0.3942546500272425,4.311702464898662,-3.2418960596247937,0.3781804699497541,roca
1739802736.09526,7.579961734881995,-1.4652665035362635,-0.9343174732229532,4.319569460457591,-3.2521501414153224,0.3777520135709785,8.705144943677379,-1.0645169301732766,2.3580038726593946,8.230218122230342,-0.9246824360246476,2.668881111072148,roca
1739802736.195253,10.34046641704094,0.2107512871238526,1.5205996316085049,8.074600214610275,-0.9363176557882732,2.7373830095154768,15.393466512201124,1.8336226960783484,4.071210628612186,14.840818898033094,2.6282669433508192,1.7984316679621493,roca
1739802736.2951906,14.27021073051797,3.8751551469604246,3.7390447733114063,14.714374919866108,2.1695531490539026,2.1466691237431257,18.811892383649784,8.8655190961471,1.0373635952419358,17.22180386204967,7.629735342331612,0.4458634832977223,roca
1739802736.3952508,22.716313775111395,3.5945668975862315,-0.5549153273725167,16.619901839867616,9.822168385459175,1.5912500829640277,16.50294213897097,1.4469756389269053,2.6798089702865027,14.53541723834044,0.5348686000855435,2.901542236333764,roca
1739802736.4951482,16.23550125532575,5.625925675769588,4.9158335426583575,14.73476188289412,0.2975246250517935,2.2750776815194222,18.048394419404957,1.1237987963422609,2.576837457247065,17.720391931218515,0.8589457210862625,1.6988388541088726,roca
1739802736.595256,18.183572236248835,3.891320260314828,4.161728610730997,17.83586713546084,1.135334073297233,0.7004494194689992,19.77905979219608,9.80739825145738,0.1995514070029039,18.476955407999235,8.71171411110379,0.2281343909782048,roca
1739802736.6952589,18.777052823093303,4.528197285859804,1.3234359239770563,17.936292608069774,7.48696748334063,0.8369432191202097,18.05211500513664,5.440558240293447,2.805741880008281,16.392023110155815,2.3902583700049056,2.376639821592363,roca
1739802736.7952642,17.761551797537635,4.911557751675862,3.114027066606582,16.396310944376093,4.815024928407823,3.684658328179845,18.175606996408163,6.914633061204018,4.475686280269128,18.795859198625298,4.011192356723032,-0.7961645325305713,roca
1739802736.8952954,17.310293177135016,4.562428419714858,4.497393179203127,16.187448174464706,3.5550198963969346,2.005768623830307,19.869579809551087,10.079966713516658,3.470506121005188,16.199854539326832,0.0794469205419318,1.0487063842798536,roca
1739802736.9952862,18.815461352406345,3.4035330369369765,4.453439597906383,14.136291200233767,-2.6655765807464022,1.3484057228883235,17.891084479117822,7.430431777697558,4.15239237989756,16.79536281586193,-0.3983006695480938,1.5465015304726055,roca
1739802737.0952537,21.22010014273837,2.5789522131867155,-1.2962605431435394,13.4625488950911,-0.7670648948993852,-2.302376260153748,17.248552841941184,3.0049393255875856,3.664896514766875,18.65924002085863,3.7879983690692174,-0.2190361943321457,roca
1739802737.195284,16.242206954899416,3.9147677684427378,3.336220702161459,13.392857787139352,-1.9692185565624736,-1.816339192373726,22.469126525783093,0.6016729385804316,3.692769640626088,14.656978494548127,2.2849569496557463,3.180539097430104,roca
1739802737.295268,17.756855636168254,5.645657429154059,4.331372097157439,11.25178565022119,-1.87653755083238,1.77342709193761,18.4808717666198,8.346253093078367,0.8806907317318623,14.21375628594532,4.43249189963571,0.550257600215434,roca
1739802737.3953052,9.602645099899076,2.9766532100797045,3.4179616389235745,12.322378016569608,1.909649156156806,1.417728086926043,14.826400930434032,5.502560344881071,2.4810861193043694,10.989779354432814,0.5409602811762683,2.6357553101808677,roca
1739802737.495302,5.943717251426068,0.2129223554227753,-0.1021865695988344,10.980947627515263,1.3462463969835965,2.358059940770058,9.616955434874908,0.5599372349210796,4.279650758080133,5.22476521878416,-3.1779992169824123,0.7801004934941554,roca
1739802737.59524,0.000954166052899,-1.644225766207744,0.0060516194500879,5.252501963770871,-2.9330841692538727,1.0046734929184251,8.587261122778258,-4.27884734177534,1.1637036269700465,7.037500759476655,-4.575317569461911,1.6491627866078038,roca
1739802737.695295,7.566244256471094,-1.4479028359551438,-0.9578689559872936,7.458399643761183,-4.917551391478375,1.2062383746219454,9.932009074412798,-4.072922817525801,-2.2539243288217032,8.219787590522564,-2.0746971025646035,-0.9413863478531084,roca
1739802737.7952597,7.8978637180696705,-2.553316067267194,-0.9092538408339104,8.238589623904293,-2.080315794953519,-0.9066050044463332,7.899801713086297,-2.022247196791552,-0.9062452170381264,7.896396215962963,-2.021751754140508,-0.9028846039692268,roca
1739802737.8952608,7.552251658723247,-1.4539426621256692,-0.9488067576077952,7.894911376939297,-2.026676986955622,-0.9047360749444496,3.803195707058871,-2.522059033841089,0.3330211594623313,3.797438436443919,-2.535190803320752,0.3189726611838275,roca
1739802737.9952765,0.0051689318453737,-1.6400989769427308,-0.0174874223507348,3.80042895415792,-2.529069578197059,0.3243984878830291,-0.0079256351911981,-0.0038042275494432,8.600174663848213e-05,-0.0082629220250072,0.0029146736121232,-0.0003168924878695,roca
1739802741.7952662,0.0118623310532999,-1.6292133076408517,0.0043627476289641,-0.0044578755287915,-1.6356090629791549,0.0049531915884503,4.809171371326853,-2.292150102481093,1.9866638692577177,4.338699615774632,-3.2316943723372167,0.3700861833623819,roca
1739802741.8953106,10.375961447630772,0.3138790407001356,-2.674060690617298,4.947224210198509,-0.2532544695616703,0.5215511965305344,12.42446732807552,0.9156923942464116,-1.568670226915463,9.201697600770764,-1.152755820195117,2.0289086535910084,roca
1739802741.995284,14.63680066930375,-1.7626792847947903,1.5159811764960636,13.099726425772465,1.016681141146529,2.009568843726496,13.831471345225976,-0.1176162885366933,-0.6397532412361469,14.97204505807819,4.599299917498562,2.602918885331785,roca
1739802742.0952392,20.253170217862323,0.5233005373770703,-1.1063811916570327,14.257063319810458,1.914899159947192,3.953934310552419,16.81145127013722,2.2076926930995366,-0.2373957352051361,15.967247096740202,6.821444229580375,1.4173541401620455,roca
1739802742.1952572,14.319401762376485,3.9723965522762,3.772304120447429,16.17898233497693,0.6283783590648272,3.885938028976583,17.326007376351086,3.2883035084263352,1.2215884615272457,12.830102267102715,-1.2337358095570143,1.698570845565039,roca
1739802742.295292,19.81641577244269,2.363509561818707,-3.178426486449103,9.242892607491669,0.8733334729415418,1.9718944515688768,18.3454841546218,1.583189320263257,1.5676219308263766,12.401520987885856,-1.5882447000336617,2.5425534733658326,roca
1739802742.3952746,14.0129026767177,2.6749203134639727,2.7905829199735352,11.263100497014314,-0.246711062698558,-0.5328491268225385,15.281576906537484,4.800997319532657,6.280830186215576,16.343640114748787,7.294445620864744,-1.1566135892970086,roca
1739802742.4952674,18.440436107038916,4.215272734102939,0.363205429331281,11.348001909443008,-0.936902283872753,1.3669571379127006,16.468921811096077,4.156769899405342,3.951325081522693,15.788522100394356,1.3140024187105734,-0.378220223440853,roca
